SG_UF,uf,valor
AC,AC,103654222.5
AL,AL,118300971.08
AM,AM,148374682.28
AP,AP,101842946.16
BA,BA,344462758.64
BR,BR,272775248.02
CE,CE,201983876.88
DF,DF,157791668.18
ES,ES,139399604.46
GO,GO,219363615.02
MA,MA,177035489.93
MG,MG,475522486.4
MS,MS,134906513.62
MT,MT,147800264.14
PA,PA,158562720.58
PB,PB,133093847.3
PE,PE,279647544.44
PI,PI,117700630.17
PR,PR,274637096.91
RJ,RJ,426715763.97
RN,RN,101359943.89
RO,RO,128041230.48
RR,RR,79900714.59
RS,RS,282807264.07
SC,SC,193987477.38
SE,SE,106185823.35
SP,SP,841251782.88
TO,TO,131187415.46
